(Sanson Ko Sanson Mein|Saanson Ko Saanson Mein Dal Ne
Baa Baa Black Sheep|Baa Baa Black Sheep
Baagon Mein Bahaar Hai|Baagon Mein Bahaar Hai
Bahon Ke Darmiyan|Baahon Ke Darmiyaan
Baahon Ke Darmiyaan|Baahon Ke Darmiyaan
Baahon Ki Darmiyan|Baahon Ke Darmiyaan
Baar Baar Dekho Hazar Baar Dekho|Baar Baar Dekho
Babuji Dheere Chalna|Babuji Dheere Chalna
Badi Mushkil Hai Khoya Mera Dil Hai|Badi Mushkil Hai
Badtameez Dil|Badtameez Dil
Battamiz Dil|Badtameez Dil
Baghon Mein Bahar|Baagon Mein Bahaar Hai
Baharon Phool Barsao|Baharon Phool Barsao
Bahut Pyaar Karte Hain|Bahut Pyaar Karte Hai
Bahut Pyaar Karte Hai|Bahut Pyaar Karte Hai
Bahut Pyar Karte Hain|Bahut Pyaar Karte Hai
Bahut Pyaar Karte Hain Male|Bahut Pyaar Karte Hai
Bahutpyar Karte Hai|Bahut Pyaar Karte Hai
Balam Pichkari Pichkari|Balam Pichkari
Balam Pichkari|Balam Pichkari
Behti Hawa Sa Tha Woh|Behti Hawa Sa Tha Woh
Bekaraar Karke Hume|Beqarar Karke Hamein
Bekarar Karke|Beqarar Karke Hamein
Bekhudi Mein Sanam Lata Rafi|Bekhudi Mein Sanam
Bekhudi Mein Sanam|Bekhudi Mein Sanam
Beqarar Karke Hamen|Beqarar Karke Hamein
Bhanwara Bada Naadan|Bhanwara Bada Naadan
Bheege Hoth Tere_Fth|Bheege Hoth Tere
Bhi Jaa|Aa Bhi Jaa
Bholi Si Surat|Bholi Si Surat
Bindiya Chamkegi|Bindiya Chamkegi
Bol Na Halke Halke|Bol Na Halke Halke
Bole Chudiyan|Bole Chudiyan
Bole Chudiy|Bole Chudiyan
Bole Chudiyan Bole Kangna|Bole Chudiyan
Can't Help Falling In Love|Can't Help Falling In Love
Chaand Mera|Chaand Mera
Chaand Ne Kuch Kaha Karaoke|Chaand Ne Kuch Kaha
Chaand Taare Tod Laun Karaoke|Chaand Taare Tod Laun
Chahun Main Ya Na Aashiqui2|Chahun Main Ya Na
Chahun Main Ya Na|Chahun Main Ya Na
Chahun Mai Ya Na|Chahun Main Ya Na
Chal Jhoothi|Chal Jhoothi
Chalo Dildar Chalo|Chalo Dildar Chalo
Chalte Chalte Mere Ye Geet|Chalte Chalte
Chalte Chalte Mere Ye|Chalte Chalte
Chalte Chalte|Chalte Chalte
Chand Ne Kuch Kaha Customized|Chaand Ne Kuch Kaha
Chand Ne Kuch Kaha|Chaand Ne Kuch Kaha
Chand Tare Tod Laun|Chaand Taare Tod Laun
Chandan Sa Badan Mukesh|Chandan Sa Badan
Chandi Jaisa Rang Hai Tera|Chandi Jaisa Rang Hai Tera
Chandijaisa Rang Hai Tera|Chandi Jaisa Rang Hai Tera
Chanun Main Ya Na|Chahun Main Ya Na
Chahu Main Ya Na|Chahun Main Ya Na
Chaudhvin Ka Chand Ho|Chaudhvin Ka Chand Ho
Chaudavi Ka Chaand Ho|Chaudhvin Ka Chand Ho
Chehra Hai Ya Chand|Chehra Hai Ya Chaand
Chal Chaiyya Chaiyya|Chhaiyya Chhaiyya
Chhod Do Aanchal|Chhod Do Aanchal
Chod Do Aanchal Zamana|Chhod Do Aanchal
Chhoo Kar Mere Man Ko|Chhookar Mere Man Ko
Chhookar Mere Man Ko Kar|Chhookar Mere Man Ko
Chhookar Mere Man Ko Ko Karan Nawani|Chhookar Mere Man Ko
Chhookar Mere Man Ko Ko|Chhookar Mere Man Ko
Chhookar Mere Man Ko|Chhookar Mere Man Ko
Chhup Gaya Badli Mein Jaake Chand|Chhup Gaya Badli Mein
Chhup Gaya Badli Mein|Chhup Gaya Badli Mein
Chithi Na Koi Sandesh|Chithi Na Koi Sandesh
Chogada Tara|Chogada Tara
Chogada|Chogada Tara
Chogada Tara Loveyatri|Chogada Tara
Choli Ke Peeche Kya Hai|Choli Ke Peeche Kya Hai
Chori Chori Chupke Chupke|Chori Chori Chupke Chupke
Chori Chori Jab Nazrain|Chori Chori Jab Nazrein Mili
Chori Chori Jab Nazrein Mili|Chori Chori Jab Nazrein Mili
Chori Chori Jab Nazrein|Chori Chori Jab Nazrein Mili
Chori Chori Jab Nazren Mili|Chori Chori Jab Nazrein Mili
Chori Chori Sapno Mein|Chori Chori Sapno Mein
Chori Kiya Re Jiya|Chori Kiya Re Jiya
Chukar Mere Man Ko|Chhookar Mere Man Ko
Chukar Mere Manko|Chhookar Mere Man Ko
Chukarmere Man Ko|Chhookar Mere Man Ko
Chupke Se Koi Aayega|Chupke Se Koi Aayega
¹ Chupke Se Koi Aayega 1|Chupke Se Koi Aayega
Chupke Se Sun|Chupke Se Sun
Chupke Se Unpluged|Chupke Se
Chura K Dil Mera|Chura Ke Dil Mera
Chura Ke Dil Mera|Chura Ke Dil Mera
Chura Liya Hai Tum Ne Tum Ne Tum Ne Tum Ne Tum Ne Tum Ne Tum Ne Hai Tum Ne Tum Ne|Chura Liya
Chura Liya Hai Tum Ne|Chura Liya
Chura Liya Hai Tumne Jo Dil|Chura Liya
Chura Liya Hai Tumne Jo Dil Ko|Chura Liya
Chura Liya Hai|Chura Liya
Chura Liya|Chura Liya
Churaliya Hai Tumne|Chura Liya
Liya Liya Chura Liya Part|Chura Liya
Chura Lo Na Dil Mera Sanam|Chura Lo Na Dil Mera Sanam
Churalo Na Dil Mera Sanam|Chura Lo Na Dil Mera Sanam
Chura Lo Na Dil Mera Kareeb|Chura Lo Na Dil Mera Sanam
Dafli Wale Dafli Baja|Dafli Wale
Dagabaaz Re Karaoke Dabangg 2|Dagabaaz Re
Dagabaaz Re|Dagabaaz Re
Dambhar Jo Udhar|Dum Bhar Jo Udhar
Darde Dil Darde Jigar|Darde Dil Darde Jigar
Deewana Hua Baadal|Deewana Hua Baadal
Deewana Hua Badal Dewana|Deewana Hua Baadal
Deewana Hua Badal Kashmir Ki Kali|Deewana Hua Baadal
Deewana Hua Badal Pallavi|Deewana Hua Baadal
Deewana Hua Badal|Deewana Hua Baadal
Deewana Hua|Deewana Hua Baadal
Deewani Mastani|Deewani Mastani
Dekha Ek Khwaab To Yeh Silsile I|Dekha Ek Khwaab To Yeh Silsile
Dekha Ek Khwaab To Yeh Silsile|Dekha Ek Khwaab To Yeh Silsile
